Latitude,Longitude,Elevation
4.620855000,-74.0674260,2614.0
4.620641000,-74.0675590,2614.0
4.620414000,-74.0676330,2614.0
4.620261000,-74.0676800,2614.0
4.620217000,-74.0677950,2615.0
4.620241000,-74.0678760,2617.0
4.620275000,-74.0679600,2616.0
4.620298000,-74.0680250,2617.0
4.620311000,-74.0680720,2617.0
4.620323000,-74.0681280,2618.0
4.620286000,-74.0681680,2620.0
4.620235000,-74.0682230,2624.0
4.620272000,-74.0682710,2626.0
4.620305000,-74.0683190,2626.0
4.620333000,-74.0684180,2627.0
4.620253000,-74.0684960,2626.0
4.620147000,-74.0685230,2627.0
4.619994000,-74.0685090,2627.0
4.619837000,-74.0685600,2627.0
4.619614000,-74.0685940,2627.0
4.619345000,-74.0686200,2626.0
4.619135000,-74.0686660,2625.0
4.618978000,-74.0687000,2624.0
4.618816000,-74.0687230,2624.0
4.618665000,-74.0687700,2623.0
4.618548000,-74.0687490,2624.0
4.618493000,-74.0687360,2624.0
4.618456000,-74.0687650,2627.0
4.618417000,-74.0687300,2628.0
4.618346000,-74.0687640,2629.0
4.618273000,-74.0688030,2629.0
4.618093000,-74.0688060,2631.0
4.617930000,-74.0688170,2631.0
4.617766000,-74.0688350,2631.0
4.617663000,-74.0688220,2628.0
4.617477000,-74.0688440,2625.0
4.617331000,-74.0688830,2625.0
4.617144000,-74.0689190,2624.0
4.616953000,-74.0689680,2624.0
4.616905000,-74.0689800,2624.0
4.616641000,-74.0690810,2626.0
4.616429000,-74.0691910,2626.0
4.616185000,-74.0693250,2626.0
4.615968000,-74.0695010,2626.0
4.615772000,-74.0696960,2626.0
4.615546000,-74.0698520,2626.0
4.615286000,-74.0700700,2626.0
4.615121000,-74.0702880,2626.0
4.614937000,-74.0704510,2626.0
4.614711000,-74.0706240,2626.0
4.614500000,-74.0708420,2626.0
4.614261000,-74.0709840,2625.0
4.613981000,-74.0711080,2625.0
4.613620000,-74.0712270,2624.0
4.613295000,-74.0713260,2624.0
4.613007000,-74.0714460,2623.0
4.612750000,-74.0715140,2622.0
4.612507000,-74.0716450,2623.0
4.612370000,-74.0717190,2624.0
4.612102000,-74.0718910,2624.0
4.611984000,-74.0720150,2623.0
4.611904000,-74.0721050,2623.0
4.611850000,-74.0721570,2623.0
4.611826000,-74.0722110,2624.0
4.611751000,-74.0722520,2625.0
4.611641000,-74.0723740,2624.0
4.611509000,-74.0724910,2624.0
4.611370000,-74.0726080,2624.0
4.611202000,-74.0727220,2625.0
4.611001000,-74.0728480,2626.0
4.610811000,-74.0730060,2628.0
